,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot907,0.09276842665172591,0.07878063646615388,0.08040803744143987,0.268040837129764,0.21254469181190636,0.07494695591131477,0.09068437181376503,0.051851431455133136,0.04997461131879705
spot908,0.08936181209800907,0.0634759759315076,0.0693533646955706,0.06639830959808692,0.0673008230895816,0.059815827920823,0.05722880177592154,0.48610240962001633,0.040962675270483355
spot909,0.09195375275779137,0.07777805822439693,0.07774134841283123,0.2559249968321051,0.2101302070162507,0.07166527404273978,0.1176592603046785,0.05290269145005248,0.04424441095915387
spot910,0.10336988915281656,0.11883142660423913,0.08612711523340673,0.19846309945579466,0.15973313998575664,0.08331065288467988,0.09203730495098923,0.09837562935522909,0.059751742377088114
spot911,0.08947045796370309,0.07751542315378268,0.0814931514494506,0.24477119628042315,0.22333841922537165,0.08970011501694689,0.09763586613839272,0.05541124389436149,0.04066412687756781
spot912,0.13682203178412133,0.09657113549809083,0.1013921317432235,0.16788679728464065,0.16885624831891463,0.08459557313533426,0.117924806725082,0.07372668880002833,0.05222458671056438
spot913,0.08454445882508785,0.09166556514870942,0.07652493133706018,0.1035178038191596,0.12230991314001508,0.06640257231102421,0.07487309792778016,0.12171014163231215,0.2584515158588514
spot914,0.13779962067360924,0.08619762308810777,0.09778698535879712,0.16691302763493115,0.21225020187656676,0.08040693138659198,0.10978526234164006,0.06403815316877733,0.044822194470978585
spot915,0.11764053339402206,0.14494614845532316,0.09385066677375863,0.1325725362758093,0.15384184570728213,0.13913832451171765,0.0786224871390597,0.0858838096767521,0.053503648066275306
spot916,0.09038706015679004,0.08846184822544564,0.0819575081541685,0.27700511706162956,0.18747804173372976,0.08450038707680436,0.09317896067996215,0.05553841300263593,0.041492663908834035
spot917,0.10329444688521283,0.06881489100644085,0.08294742335202918,0.16473510637381863,0.3275701966574489,0.06643023540121716,0.08516424621734957,0.06118070941099817,0.039862744695484634
spot918,0.132963647104518,0.08606814653352979,0.09032138270561782,0.17834861790099701,0.16802261812689853,0.07490922315336455,0.1520712531115835,0.07300225280703099,0.04429285855645982
spot919,0.11604864492713829,0.3281566705005726,0.0856284618529096,0.05535198660588671,0.059113622266134515,0.12860250638340412,0.05395204173958752,0.10045096033702393,0.07269510538734286
spot920,0.1015857390274447,0.07617756779395009,0.09352243349966993,0.23917958917738813,0.18597487734492985,0.0829013834755407,0.09251118753796295,0.07839831175131691,0.049748910391796644
spot921,0.07323640785115797,0.08339510710177585,0.05956172815491237,0.09341328654700072,0.10942390083101107,0.07241963320977195,0.05465563832591347,0.4195912668977978,0.03430303108065881
spot922,0.12461845947682067,0.0926574685231585,0.09043384291625618,0.2018577945869564,0.18823446663527071,0.07831533404457794,0.11467358296311833,0.05914516597521724,0.05006388487862388
spot923,0.08074706657489107,0.0643424615556215,0.07105981576303899,0.10628661638167053,0.10578890994437128,0.06587059332244366,0.052401807573553894,0.41469254283379847,0.03881018605061055
spot924,0.07140852590853156,0.07195507200974602,0.05133159004159495,0.03717963502735107,0.03487624323495485,0.0584349556560181,0.03141679355372679,0.6130632410425624,0.030333943525514273
spot925,0.04401430698285354,0.04111980448712555,0.03832975662067564,0.024589652666749486,0.024782479100522774,0.06581492979510328,0.02262893137618346,0.7149181950114482,0.023801943959338226
spot926,0.05828746935688298,0.05452909345141612,0.04680802823616667,0.040676597936684634,0.03868795824469552,0.04686434954830887,0.033916462397433955,0.6551644716593836,0.02506556916902772
spot927,0.10074238192949099,0.07488973262665057,0.09252070449221882,0.270181834532832,0.18365858810241834,0.07668399316209475,0.08603434159017362,0.06898354359543056,0.046304879968690225
spot928,0.06019227908639552,0.051237376449913406,0.04543144892233878,0.03775999458813964,0.03186068792833088,0.09621402496333899,0.029795190011843782,0.6200460880377934,0.027462910011905657
spot929,0.11555261622509401,0.1088687903753447,0.08742557192502567,0.1841282665468849,0.17416281952237703,0.07569225287640981,0.10140026571644445,0.09188471222307143,0.06088470458934796
spot930,0.06375595249719732,0.059195905163097674,0.057750365212275806,0.0525446029082346,0.052195479631485464,0.05262701658389746,0.05196765929484697,0.5659294359032299,0.04403358280573498
spot931,0.1448424198665066,0.07815588032296099,0.08693215983631358,0.17321542377141175,0.2538875886776407,0.0782451920921514,0.08753142415286881,0.056912076638633284,0.040277834641512744
spot932,0.09814505278687935,0.08742213872570333,0.08339020514010301,0.25655767415769426,0.18530080641213853,0.08620538945785092,0.09577100585279695,0.06122378692961878,0.04598394053721489
spot933,0.0611025452549754,0.06263708196007958,0.05523779454413643,0.06027797399482739,0.05561132772145065,0.05619852931774195,0.049253863410316935,0.561445275231819,0.03823560856465271
spot934,0.04768026427190464,0.0433455638707913,0.04055472366723988,0.027614210131126294,0.03065214445609452,0.10160900451858561,0.03125965664154171,0.6566829284120932,0.02060150403062288
spot936,0.13999249062845437,0.1361483421571175,0.11187007377502267,0.113026363465509,0.10288289789145137,0.15797666310703518,0.07831127218211154,0.10415017716336374,0.05564171962993466
