,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot84,3.6300162e-06,0.3055145,8.909099e-06,0.3530257,1.4376213e-05,0.015318483,6.398563e-06,0.3261045,3.4020684e-06
spot85,1.4485319e-05,1.0379423e-05,0.0051955683,0.4773399,0.44936866,0.02311248,4.1146905e-05,0.015914531,0.029002842
spot86,0.030824298,0.00015485019,0.054851826,0.53503263,2.224565e-05,1.9968023e-05,0.36603948,0.00038251362,0.0126722185
spot87,0.07814164,3.821621e-06,0.07901723,0.375003,0.19266844,0.009377347,0.26578355,2.1068547e-06,2.873016e-06
spot88,0.24920897,0.00013459804,2.605068e-05,0.48068133,7.507541e-05,0.013756896,0.10749327,0.08644291,0.06218087
spot89,0.037858438,0.49017176,2.3309836e-05,0.09032772,0.047437724,4.786534e-06,0.30960622,2.5997801e-06,0.024567423
spot90,2.1566977e-06,0.06843625,6.7903593e-06,1.3863347e-06,1.9108736e-06,0.2061133,0.016343907,0.7090928,1.5294509e-06
spot91,0.086767584,1.5052292e-05,0.037342735,0.11475253,0.50101864,0.007201305,0.031893168,0.20067002,0.020338947
spot92,0.05672218,0.11289422,4.210922e-05,3.4884504e-06,2.433561e-05,2.90009e-06,0.27777123,0.55047834,0.002061136
spot93,0.11610982,3.39917e-06,0.005656971,2.4992285e-06,1.0296618e-05,1.3145826e-06,0.16064481,0.7152423,0.0023286282
spot94,0.032759458,8.57802e-06,6.338229e-06,1.8510747e-05,2.2119882e-05,0.20812036,0.48366827,0.26620862,0.009187769
spot95,0.02949259,1.0417677e-05,0.021263074,6.2434565e-06,0.5324115,1.9054224e-06,0.02426816,0.38039422,0.012151854
spot96,6.271753e-06,5.665287e-06,4.809906e-06,9.078796e-06,9.6100075e-06,0.07122696,5.2597297e-06,0.9287276,4.7512494e-06
spot97,0.054656904,6.6793564e-06,2.3258866e-05,0.091164924,0.042445257,0.034374535,2.3562421e-05,0.7772995,5.3346976e-06
spot98,0.06741003,0.06902287,0.00010075477,0.103865035,0.7045336,1.2563625e-05,0.023754405,0.00023331372,0.031067405
spot99,0.18176992,0.41542572,9.020113e-06,0.11653013,0.28623345,7.797518e-06,5.3512194e-06,5.0313884e-06,1.3616716e-05
spot100,0.07923134,0.0468895,3.369716e-05,1.2851205e-05,0.22872183,1.9911256e-06,8.63367e-06,0.6383778,0.0067223934
spot101,0.050991133,9.430566e-05,0.038336776,1.900611e-05,0.83795094,2.013508e-06,0.063518524,2.3110981e-06,0.009084995
spot102,0.0110707795,0.049713522,0.00020220313,1.6083033e-05,0.5070242,0.0025530513,0.022459662,0.4069561,4.410764e-06
spot103,0.6682853,0.31950617,9.546231e-06,4.2312927e-06,5.293117e-06,0.012174532,4.80373e-06,5.4528327e-06,4.764348e-06
spot104,4.9557357e-06,0.022145737,0.00011744348,0.5022079,0.10690068,0.0026449168,5.4158645e-06,0.34893405,0.01703895
spot105,0.3456411,0.13840126,0.0023138693,8.351099e-06,0.46711507,0.011024721,1.2834361e-05,0.035480257,2.665166e-06
spot106,0.18632208,0.4848116,1.6765136e-05,5.3182568e-05,0.12896387,0.19981265,6.866668e-06,2.5438849e-06,1.0524014e-05
spot107,0.34498015,0.12896791,8.156882e-06,3.0507208e-06,3.4670336e-06,3.0431572e-06,0.27013835,0.23499866,0.020897254
spot108,0.05891828,0.5692393,0.05288465,0.31888252,3.7474678e-05,2.1836473e-05,7.478021e-06,2.6627074e-06,5.811523e-06
spot109,1.8720883e-05,0.26016214,6.408432e-05,3.6395257e-05,0.7028185,0.024826955,3.9689007e-06,0.011657063,0.00041210977
spot110,0.064521976,0.028771998,1.727013e-05,6.3007997e-06,6.436365e-06,5.063499e-06,0.90665746,5.8289334e-06,7.652251e-06
spot111,4.84565e-06,0.14042898,6.85479e-06,0.28745967,2.230969e-05,3.422305e-06,0.015696371,0.53471714,0.021660341
spot112,0.032808896,9.2392565e-06,0.0061680023,0.04483502,1.3982822e-05,0.481118,6.730067e-06,0.4350368,3.293844e-06
spot113,3.6089684e-06,3.5722305e-06,3.0131748e-06,2.3502876e-06,2.4435844e-06,0.0044988412,0.24131116,0.7541733,1.7053829e-06
spot114,2.7190952e-06,0.09126278,2.25745e-06,2.0783555e-06,2.2520765e-06,1.6525751e-06,0.027002454,0.8705353,0.011188511
spot115,7.313905e-06,0.060455237,4.2302927e-06,5.422498e-06,4.295311e-06,0.005038651,0.0040872954,0.9049011,0.025496472
spot116,5.3341146e-06,2.5077466e-06,3.1978818e-06,2.1776066e-06,2.8951586e-06,0.11053294,8.930607e-06,0.8894403,1.6726423e-06
spot117,0.04518008,0.2217614,2.4388228e-05,0.13245139,2.8223825e-05,0.0009422204,0.011620743,0.5744262,0.013565349
spot118,0.13172169,0.7966052,0.008762647,4.109719e-06,3.6398255e-06,3.0024662e-06,3.6372094e-06,0.06289266,3.3531865e-06
spot119,3.4427171e-06,0.26515007,7.3679125e-06,0.29760733,1.4071035e-05,2.6866028e-06,3.2730784e-06,0.4246913,0.012520455
spot120,0.08230074,3.0681138e-06,4.6994857e-05,1.7775127e-06,2.5717763e-06,0.11607052,4.86587e-06,0.8015681,1.3883216e-06
spot121,6.7605274e-06,0.9102544,0.023941904,5.456185e-06,5.6016493e-06,4.1259505e-06,0.030120682,6.50326e-05,0.035596028
spot122,0.28632426,0.032116853,5.81206e-06,5.1751535e-06,9.891564e-06,2.404897e-06,0.031251226,0.6502812,3.076975e-06
spot123,0.094426125,8.211112e-06,9.364331e-06,0.026111426,9.554406e-06,0.0044203075,0.011327299,0.8636853,2.387651e-06
spot124,0.09200977,0.5147761,0.028876703,0.10936455,6.163599e-06,0.022422412,0.024287682,0.20824099,1.5568065e-05
spot126,0.097509466,3.4834825e-06,1.0881587e-05,8.100796e-06,3.1176314e-06,9.642567e-07,7.3633787e-06,0.894426,0.008030668
spot127,0.12770474,0.49878085,0.041465525,0.079756156,1.4023893e-05,0.22440262,0.027870204,3.4322104e-06,2.4596336e-06
spot128,0.18932652,9.080742e-06,0.027427737,0.5786038,0.20273647,4.2315196e-06,3.446171e-06,6.489029e-06,0.0018821909
spot129,0.17062669,0.0103044,0.011749008,0.6569445,1.7295386e-05,0.00077231496,0.11985024,1.2859144e-05,0.029722668
spot130,9.9914405e-06,5.5119457e-05,1.0413372e-05,1.7795435e-05,0.88279927,0.015783856,9.0641915e-06,0.05268554,0.04862901
spot131,1.7523287e-06,4.3654213e-06,2.6144667e-06,9.137668e-05,0.99153495,5.025299e-05,0.0008431504,4.3638856e-06,0.007467263
spot132,0.29161468,0.05840629,0.02044639,0.4009061,0.21430223,1.1072369e-05,0.01430161,7.598549e-06,4.039305e-06
spot133,0.051504355,0.5912307,8.111241e-06,3.3562017e-06,3.504424e-06,0.3520735,3.1978145e-06,1.9058589e-06,0.0051714317
