"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Tfap2b",0,1,0,5,0,3,0,2,1,1,2,1,4,1,3,4,2,0,0,1,3,1,2,1,3,0,2,0,1,0,3,1,2,1,2,0,4,2,0,2,0,1,1,0,2,0,1,0,0,0,2,1,2,5,0,3,0,1,1,0,0,1,0,3,2,2,0,0,2
"Mcm3",0,1,1,0,1,0,0,2,4,0,1,4,1,1,2,3,2,1,0,2,5,0,1,1,2,3,0,2,1,4,3,2,0,1,2,3,1,4,1,1,4,4,2,3,1,0,2,1,1,4,0,3,4,4,2,0,0,3,0,3,3,3,1,0,3,0,0,4,2
"Paqr8",0,6,2,3,8,0,5,2,1,2,3,1,2,2,4,2,0,3,2,1,3,3,3,3,2,6,2,4,2,2,3,2,0,4,4,7,4,3,8,5,5,1,1,0,3,4,4,7,5,2,5,6,4,5,2,0,1,4,3,1,7,0,4,6,8,4,1,4,7
"Efhc1",0,1,0,1,1,0,1,0,0,3,1,0,1,0,1,1,2,1,1,2,1,2,0,2,0,0,2,0,0,2,1,1,0,3,1,3,1,2,0,2,2,2,0,0,0,1,0,1,1,2,2,2,2,1,0,0,1,1,1,0,0,2,0,3,1,0,2,3,1
"B3gat2",0,1,1,0,2,0,0,1,2,2,0,1,0,0,3,1,1,0,2,3,1,4,1,0,2,0,1,1,4,0,2,2,1,2,2,1,2,2,1,3,2,0,4,2,1,1,1,1,0,1,2,0,1,3,2,0,1,2,3,3,3,1,2,2,0,4,3,1,1
"Col9a1",0,0,1,2,5,1,0,1,2,0,1,2,3,1,1,1,1,1,2,1,2,3,1,1,2,0,3,3,2,0,3,2,1,0,1,1,0,1,0,0,1,0,0,0,2,0,3,0,0,1,0,1,2,2,2,1,0,1,4,1,2,0,1,1,0,0,3,4,0
"Lmbrd1",0,2,3,1,2,1,2,2,1,2,3,2,1,2,2,1,2,1,1,1,0,4,2,1,2,4,2,4,1,1,2,0,0,1,5,3,4,2,1,2,1,0,1,2,0,0,1,2,2,2,1,3,0,1,5,2,0,0,1,5,0,2,0,2,1,3,4,1,2
"Phf3",0,0,3,1,2,0,0,3,2,0,1,0,3,1,5,3,6,1,0,2,1,2,1,2,0,2,3,0,1,2,2,0,2,2,2,0,3,0,2,5,3,0,0,1,3,3,2,1,1,3,3,0,4,2,3,0,0,2,3,3,1,0,0,3,2,2,0,0,1
"Rab23",0,0,3,3,2,1,0,1,1,1,3,0,1,0,2,1,1,3,1,0,1,2,0,1,3,0,2,0,3,2,3,2,2,0,1,1,0,1,2,1,3,1,1,0,2,1,1,5,2,2,1,0,1,1,2,0,1,1,0,4,1,1,2,0,0,2,3,1,2
"Ccdc115",0,0,4,5,2,0,0,2,3,1,1,1,4,0,4,0,1,5,0,4,2,1,4,3,5,4,1,1,1,9,1,0,1,3,7,0,5,0,1,2,3,2,1,1,4,3,2,3,3,3,2,0,5,3,2,2,2,3,2,6,1,0,1,1,1,2,0,3,1
"Imp4",0,2,3,2,2,1,1,2,1,1,0,0,3,0,1,3,2,1,0,0,2,2,0,3,0,0,1,0,1,0,1,0,1,3,2,2,1,1,3,2,2,0,1,2,2,3,2,1,1,2,4,1,2,5,3,2,0,3,1,1,3,0,1,2,3,2,3,1,2
"Amer3",0,2,3,2,3,0,0,5,1,4,2,0,3,3,4,5,1,4,2,4,2,1,3,3,1,4,1,1,8,4,1,4,2,2,4,5,2,3,2,2,5,0,3,7,5,3,4,1,3,2,6,2,3,4,1,0,0,1,2,4,0,2,2,1,1,2,3,4,1
"Arhgef4",0,7,8,5,5,7,3,3,4,7,11,1,4,3,4,5,6,6,6,6,4,2,5,0,5,7,2,3,4,6,9,7,7,9,5,4,6,12,9,8,4,2,10,4,16,3,5,11,11,6,7,12,7,6,6,1,1,7,3,3,4,3,3,5,3,5,9,9,3
"Hs6st1",0,3,0,3,6,2,0,1,7,2,3,0,2,2,6,4,4,2,4,5,1,2,1,2,4,3,0,3,4,1,2,3,1,2,0,2,2,2,2,8,3,2,3,2,0,3,3,2,3,2,3,3,2,1,1,3,2,1,5,3,5,0,3,4,2,0,4,2,0
"Arid5a",0,2,1,0,4,2,2,2,2,1,0,0,1,0,0,2,1,0,3,0,3,3,1,0,1,0,1,0,1,1,0,2,1,0,0,2,4,1,0,1,2,0,1,1,0,1,3,0,2,0,0,1,0,2,3,0,0,0,0,2,1,2,1,0,6,3,1,0,2
"Kansl3",0,3,0,2,2,0,0,2,2,3,0,0,1,0,0,1,2,1,3,1,2,0,1,1,0,2,3,1,4,3,0,1,2,1,1,3,2,1,0,6,4,1,1,0,3,2,3,3,1,1,1,2,1,4,3,1,1,4,5,2,3,3,3,3,2,1,0,1,0
"Cnnm4",0,1,2,2,2,1,0,0,0,6,2,5,3,2,0,5,1,0,3,2,1,0,2,0,2,2,1,2,0,1,5,0,1,1,3,1,0,0,1,1,4,0,1,3,4,0,1,1,1,1,6,1,1,2,1,0,0,1,1,0,0,1,2,0,2,1,2,2,2
"Cnnm3",0,2,0,1,1,1,0,0,0,1,1,1,0,1,1,2,1,1,1,2,1,0,0,2,1,1,2,1,1,1,2,2,0,0,1,0,0,0,0,0,3,1,2,1,0,2,3,1,0,2,2,1,0,3,1,2,0,1,1,1,0,0,3,0,0,0,1,3,0
"Inpp4a",2,5,13,12,5,6,3,15,19,17,11,12,11,3,17,15,16,9,14,13,11,12,12,12,8,8,12,3,14,9,11,9,10,10,13,11,17,10,9,16,12,6,18,15,16,8,19,15,12,13,9,18,14,6,15,6,2,6,5,9,3,4,9,6,4,11,4,8,4
"Coa5",0,0,0,0,3,1,2,3,1,1,0,1,1,0,1,0,1,2,2,2,1,0,2,1,1,2,3,0,0,0,6,2,2,1,1,2,0,3,2,1,2,0,1,0,2,2,1,2,0,0,2,2,1,1,2,0,0,1,1,2,3,0,3,1,2,2,1,5,1
"Tsga10",0,2,2,2,0,0,2,1,3,0,1,0,0,0,5,2,0,1,2,0,2,0,0,2,2,1,2,0,1,2,0,1,1,0,0,2,2,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,2,3,0,0
