"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Zfp628",0,0,0,2,3,1,0,1,1,1,2,1,2,0,2,1,4,1,2,3,0,3,2,0,3,0,3,0,2,0,2,1,2,2,1,2,2,3,4,4,1,1,3,5,4,6,4,1,2,2,0,1,0,2,1,2,0,1,2,2,5,1,0,0,3,1,1,3,0
"Nat14",0,1,5,5,5,0,2,3,2,2,0,0,9,2,5,4,5,0,3,3,6,4,6,4,3,1,6,2,3,3,3,4,4,1,5,2,2,2,1,4,3,0,3,3,6,2,2,3,4,0,4,9,3,5,3,2,1,3,4,3,0,2,2,2,5,3,3,6,0
"Zfp579",0,2,2,2,4,1,1,3,1,3,1,1,1,1,0,1,2,1,1,1,2,1,1,0,1,3,0,1,2,3,1,0,2,3,3,2,0,3,2,0,2,2,1,0,3,4,1,3,3,0,1,1,0,0,1,1,1,2,0,0,3,1,1,4,1,0,0,1,2
"Fiz1",0,0,0,0,2,1,0,1,2,3,1,1,0,1,2,2,0,1,0,1,2,1,1,1,0,1,3,0,0,1,0,0,3,2,0,1,0,1,3,0,0,0,1,0,2,1,3,2,1,0,2,0,3,0,1,1,1,1,0,3,0,0,1,0,2,0,1,1,0
"Zfp865",0,7,3,3,0,1,0,3,1,0,3,0,4,4,3,0,1,2,5,5,4,1,5,3,1,0,2,2,2,1,0,1,6,0,3,2,2,3,2,3,5,2,3,2,1,3,3,3,0,3,4,4,1,3,3,1,0,0,2,1,1,1,2,2,4,2,7,1,1
"Zfp784",0,0,1,1,1,0,1,3,1,3,2,0,2,0,0,2,6,1,0,3,1,2,3,1,3,1,2,0,4,1,2,0,0,1,2,0,2,3,1,0,2,0,2,1,2,1,2,3,1,1,0,5,1,0,3,1,0,6,2,3,0,0,5,2,1,1,1,2,1
"U2af2",0,10,7,3,5,5,3,4,6,3,4,7,8,6,10,2,8,7,3,6,13,6,7,1,4,8,9,8,5,7,7,6,9,6,12,11,3,7,4,6,6,6,6,9,6,13,2,8,6,6,7,7,3,4,11,5,2,3,9,5,2,3,1,9,6,6,8,8,5
"Epn1",0,6,12,7,15,5,9,11,14,16,17,5,11,4,6,6,12,7,14,6,21,13,24,12,16,13,14,6,12,10,17,6,15,19,14,17,21,17,19,10,18,1,10,6,7,17,20,12,25,20,18,18,24,14,23,7,1,11,16,6,6,8,11,12,12,14,8,14,9
"Zfp787",0,0,1,4,5,3,2,5,3,2,2,2,2,2,1,1,4,6,3,6,5,4,5,2,8,4,6,1,4,2,4,4,7,4,2,2,3,3,5,5,2,4,6,1,4,3,1,4,2,1,2,4,0,3,3,0,0,2,3,6,2,2,5,5,2,6,4,3,5
"Zfp444",0,0,2,3,3,0,0,4,2,0,2,0,2,0,1,0,2,0,0,1,2,3,2,4,3,0,1,1,0,1,2,1,1,1,2,1,0,3,1,3,1,0,0,1,1,1,3,1,4,0,1,1,1,1,3,2,0,1,3,1,1,2,2,1,0,2,1,0,4
"Zfp667",0,0,1,5,3,1,0,1,3,1,0,1,1,1,4,2,1,3,1,3,3,4,1,2,1,2,1,1,3,4,0,1,3,2,0,0,2,3,1,1,0,0,1,1,2,3,5,1,2,2,1,1,1,0,2,1,0,3,2,3,1,2,1,0,2,2,1,0,2
"Zfp28",0,2,4,5,4,1,2,0,2,3,0,0,1,0,1,0,1,2,0,0,0,3,0,2,2,2,1,0,1,2,0,0,2,3,2,1,3,0,0,0,0,0,3,1,0,3,3,0,0,3,1,2,3,3,3,0,0,2,2,4,0,0,0,1,1,0,1,2,0
"Zfp773",0,1,2,0,3,0,2,0,2,1,0,1,3,0,1,2,3,3,2,4,2,4,2,1,2,1,1,0,1,1,2,0,3,0,1,0,3,1,0,0,0,1,0,1,0,1,1,2,4,3,0,2,5,1,1,2,0,1,0,2,3,3,3,1,4,1,0,3,0
"Zfp418",0,0,3,0,1,0,0,3,1,1,1,0,2,1,1,0,4,1,0,1,0,0,2,3,3,2,0,1,4,1,1,0,1,5,1,0,1,1,2,1,0,0,3,2,0,2,0,0,0,0,3,2,2,0,2,2,0,2,0,1,0,2,2,1,0,3,0,5,1
"Zfp551",0,3,1,0,0,0,0,3,3,0,0,1,2,0,1,1,1,1,3,1,0,2,3,2,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,2,1,0,0,1,2,1,1,3,1,0,1,3,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0
"Zfp329",0,0,1,0,0,0,0,2,2,2,2,0,1,0,0,0,4,1,3,1,1,1,0,3,1,3,2,0,2,0,3,0,1,2,1,0,0,1,1,2,2,0,1,2,2,0,4,3,0,1,0,3,0,3,0,0,2,1,0,0,0,1,0,1,0,1,1,0,1
"Zfp128",0,0,2,2,2,1,0,0,0,2,0,0,2,0,0,1,1,0,1,3,0,0,0,0,2,1,0,0,3,0,1,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2,0,2
"Zscan22",0,0,1,2,0,0,0,0,1,0,1,0,1,2,2,1,3,1,0,1,4,2,1,2,1,0,2,2,1,2,2,1,1,1,0,2,2,0,1,2,0,0,3,4,3,2,1,4,0,4,0,0,0,4,3,2,0,1,3,1,2,1,1,3,3,1,1,2,2
"Zfp324",0,0,2,1,2,0,1,0,1,1,1,1,0,0,0,0,2,2,2,3,2,1,0,5,0,4,0,2,0,1,0,1,1,2,2,0,2,0,3,1,0,0,0,3,0,3,1,1,0,1,1,1,1,5,3,0,0,1,0,2,1,1,2,1,5,0,1,0,0
"Zfp446",0,0,0,0,1,0,2,0,1,2,1,0,0,2,3,3,0,6,3,3,0,1,2,1,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,2,0,3,0,1,0,0,1,0,1,0,0,5,0,0,1,2,0,2,1,1,0,0,2,1,0,2,0,0,1
"Zbtb45",0,1,0,0,2,0,0,2,2,2,2,1,3,0,3,2,0,1,1,0,1,2,1,1,4,0,0,1,0,3,1,0,1,1,0,2,0,2,1,1,0,0,1,0,0,3,2,2,0,1,2,0,2,1,1,0,0,3,0,0,0,0,2,1,0,0,0,2,0
"Trim28",0,0,4,4,4,2,0,1,4,5,2,0,4,5,2,6,3,5,2,2,2,4,1,2,2,6,5,2,5,3,4,1,0,6,3,3,3,5,5,7,3,4,7,5,0,6,2,2,4,2,4,4,3,5,8,2,0,3,3,3,5,2,2,7,3,6,6,5,3
"Mzf1",0,0,1,2,3,0,1,0,2,2,0,0,0,2,0,1,2,0,1,0,0,0,2,5,1,2,2,0,1,1,0,0,1,1,0,0,1,5,0,0,1,0,0,1,1,2,2,1,1,1,0,1,3,2,1,1,0,2,1,0,0,0,2,2,0,1,1,2,1
"Lig1",0,3,1,5,2,0,0,0,0,1,0,0,2,2,1,0,3,0,1,0,0,0,2,0,1,2,2,0,0,1,3,0,2,0,0,2,2,0,3,0,2,1,0,0,2,2,0,0,0,0,0,3,0,0,1,1,0,0,1,2,1,0,0,0,1,1,1,2,0
"Napa",0,10,12,17,9,8,2,11,13,22,13,6,8,7,8,13,13,12,8,16,10,20,9,9,13,13,6,4,14,16,13,12,14,16,3,16,17,15,16,5,9,9,9,16,22,18,15,18,14,12,15,15,13,17,11,4,2,11,12,10,14,8,13,10,13,22,13,14,10
"Kptn",0,3,3,2,4,3,1,1,2,5,1,2,2,0,1,0,0,0,4,2,5,7,5,1,2,3,4,2,2,2,5,3,7,6,1,0,2,5,3,2,1,1,3,5,1,2,2,3,4,2,2,1,1,5,4,0,1,1,5,5,4,0,4,2,2,5,2,3,0
"Meis3",0,1,2,3,2,0,0,2,1,2,4,2,4,2,1,4,2,2,7,1,5,0,1,4,2,4,2,4,6,2,2,4,3,4,2,2,2,1,2,4,4,2,3,3,1,0,3,2,2,3,5,3,4,3,1,2,0,3,0,2,6,0,1,3,2,2,1,2,3
"Dhx34",0,4,1,0,2,0,3,1,0,0,2,0,0,0,2,1,0,0,0,3,2,0,1,1,3,2,0,2,0,1,2,0,0,0,0,0,1,0,0,1,2,0,1,2,1,0,4,1,0,0,1,0,0,0,1,1,0,2,2,4,3,0,0,4,2,1,2,1,2
"Zc3h4",0,2,9,5,5,1,3,5,5,2,1,2,5,0,5,3,4,3,2,3,2,5,3,2,2,4,2,1,2,3,2,5,3,3,4,3,0,3,3,5,2,4,3,3,0,4,4,2,1,1,4,4,3,5,3,0,2,5,2,4,1,2,2,2,4,1,5,3,2
"Slc1a5",0,4,1,0,0,1,0,2,0,4,0,1,0,2,0,2,3,2,0,1,3,0,0,1,1,1,2,1,1,0,1,1,1,0,0,0,0,1,1,2,0,2,1,3,0,0,1,2,1,0,0,0,0,0,1,0,0,0,4,4,1,0,1,0,3,0,0,2,0
"Strn4",0,3,2,3,0,1,2,2,1,1,1,0,2,2,2,3,3,3,3,2,4,2,3,3,3,4,0,0,5,5,5,5,2,1,1,2,3,3,1,4,1,2,0,3,2,4,2,0,0,1,2,1,4,2,4,0,3,2,0,2,1,1,1,1,2,0,1,2,0
"Prkd2",0,0,2,3,1,1,1,0,4,0,1,0,2,2,0,2,0,1,1,1,0,0,2,1,1,1,0,1,0,0,0,3,2,0,4,3,0,1,0,0,2,3,1,0,0,3,0,0,0,1,0,1,2,4,0,0,0,3,2,2,2,0,1,0,0,0,1,2,0
"Dact3",0,0,2,1,2,1,0,4,2,3,2,2,2,1,2,0,3,2,1,3,2,7,1,0,2,2,2,1,1,0,2,3,5,2,1,2,3,5,3,3,1,0,1,3,6,3,6,4,5,2,3,3,1,4,3,0,1,0,1,1,5,3,4,1,1,4,3,3,3
"Pnmal1",0,9,0,6,8,2,4,5,4,4,6,3,4,2,2,4,4,7,10,5,4,7,1,5,8,2,9,1,6,3,5,1,9,4,8,4,9,8,4,6,7,0,7,5,4,3,6,9,4,4,3,3,7,3,6,1,0,3,6,6,5,3,12,4,6,5,2,6,1
"Ppp5c",0,4,9,6,5,4,2,10,7,7,5,1,8,0,6,9,6,7,8,5,5,10,4,4,4,8,4,2,6,5,8,6,12,6,8,15,8,5,6,5,6,2,10,7,8,10,8,9,10,7,8,6,4,4,2,1,3,8,5,4,6,3,7,6,7,16,6,8,4
"Hif3a",1,0,0,1,1,1,1,4,2,2,1,0,2,0,0,0,0,0,0,3,0,0,1,0,3,1,0,1,1,1,2,1,1,0,1,3,1,0,1,1,1,1,4,2,3,1,2,1,2,1,1,0,2,2,1,0,3,5,4,1,1,1,3,3,1,0,3,2,3
"Ccdc61",0,1,1,0,2,0,0,1,1,0,2,0,4,1,0,0,1,0,1,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,2,2,1,0,1,1,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,0,2,1,2,0,0,2,1,1,0,2,0,0,0
"Nova2",0,5,9,7,1,3,2,5,6,6,3,6,6,8,7,7,4,5,3,6,5,9,11,9,8,6,9,0,12,10,8,6,5,7,12,7,5,16,4,6,7,4,12,2,11,3,7,8,9,11,11,12,4,13,10,2,2,10,12,9,4,5,3,7,7,10,4,4,8
"Mypop",0,2,4,5,5,3,4,5,5,3,2,1,1,2,2,1,2,5,3,5,4,6,4,2,2,4,4,2,3,1,6,2,1,5,2,4,5,3,5,3,6,1,6,2,4,4,1,9,4,6,4,2,0,2,4,0,0,4,2,3,1,0,3,1,0,6,4,4,2
"Irf2bp1",0,4,3,6,12,3,2,2,4,3,6,2,3,3,4,6,5,5,3,4,5,2,1,4,1,5,9,1,3,5,3,2,5,6,2,3,5,4,1,4,3,4,5,1,7,4,6,5,3,4,4,5,2,6,6,2,2,4,2,5,3,2,3,5,1,3,8,5,5
"Sympk",0,2,2,6,8,3,3,7,6,16,3,4,3,1,1,6,3,8,6,10,10,7,5,7,6,7,4,3,6,3,8,7,6,7,9,10,16,2,9,6,4,3,2,4,7,9,11,9,11,9,11,4,7,0,8,0,1,1,5,3,1,3,4,4,8,5,7,5,6
"Dmwd",1,5,6,6,0,3,2,8,7,7,6,7,9,4,7,8,6,7,3,9,6,6,7,5,5,7,5,3,8,5,2,9,5,6,10,10,9,2,6,4,7,4,8,9,8,7,5,7,3,4,7,2,6,9,10,1,4,7,3,3,3,3,8,7,4,7,6,7,2
"Dmpk",0,0,1,2,3,2,0,2,2,0,2,2,1,2,2,0,1,2,6,0,1,3,0,2,1,3,0,1,1,4,1,0,2,1,1,2,3,2,3,2,7,2,0,4,5,2,2,2,5,0,2,2,2,2,0,1,0,1,2,3,0,0,1,1,1,1,1,1,3
"Six5",0,1,2,0,0,0,2,1,1,2,1,1,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,2,1,2,0,0,1,2,0,1,2,0,1,0,0,0,0,3,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,1,0,2,1,1,0,2,1,0,1
"Fbxo46",0,0,4,1,2,1,1,1,2,3,3,0,1,0,1,0,2,1,3,0,2,2,4,2,1,6,1,0,1,2,5,3,2,3,1,2,6,1,2,2,0,0,3,2,2,1,2,2,3,0,1,0,2,0,2,1,1,0,2,0,0,0,0,3,1,2,2,4,2
"Qpctl",0,1,2,2,5,2,0,0,1,0,0,0,3,0,2,2,1,1,2,1,2,5,5,1,2,3,1,3,4,1,3,0,1,3,2,3,1,0,4,0,3,2,0,1,4,0,2,2,4,2,0,3,3,0,2,2,2,2,3,2,2,0,1,1,3,4,2,3,2
"Eml2",1,5,1,6,6,1,0,15,11,6,6,6,5,2,4,6,1,3,3,5,7,7,9,6,4,6,7,1,5,2,5,4,2,9,8,5,5,3,7,5,2,0,6,2,6,4,7,10,11,9,6,6,3,6,4,1,2,9,3,5,12,2,5,13,11,7,5,7,8
"Gpr4",1,0,2,3,2,2,0,1,2,2,1,0,3,0,1,1,2,5,0,0,3,1,1,0,2,1,2,2,0,1,2,1,0,1,4,1,2,1,2,0,0,2,1,0,2,2,0,3,3,2,1,0,1,0,2,2,1,1,5,0,1,1,2,1,0,6,1,1,0
"Opa3",0,2,1,3,0,0,0,2,0,1,2,2,0,2,1,1,3,0,3,1,0,4,0,3,2,2,1,0,4,2,1,1,1,1,1,1,2,1,1,1,2,0,3,1,0,2,1,2,1,2,2,0,1,2,1,1,0,3,0,2,1,1,4,2,1,1,1,1,3
"Cd3eap",0,0,1,9,3,0,1,1,2,0,2,2,1,0,3,3,0,2,2,3,2,3,3,1,4,4,0,3,0,3,1,4,1,2,1,3,3,0,1,3,0,0,7,2,2,1,2,4,3,2,1,3,3,1,0,2,2,3,2,0,7,0,3,2,0,1,3,4,2
"Ppp1r13l",0,0,0,1,4,0,1,1,0,0,3,0,0,0,3,2,2,0,0,3,1,0,0,3,2,1,0,3,1,3,3,2,1,0,2,1,0,0,1,0,0,0,1,1,2,0,2,0,1,1,3,1,1,3,2,0,0,1,2,3,0,0,0,2,2,0,2,1,0
"Mark4",0,2,3,7,4,2,4,13,6,7,7,7,4,2,12,8,5,4,5,4,11,10,6,5,5,10,5,6,2,12,6,6,2,7,5,8,8,5,7,1,8,6,4,5,5,3,4,18,10,9,9,4,9,10,7,6,3,12,6,7,2,4,7,8,7,10,8,13,9
"Ppp1r37",0,4,8,4,4,2,4,4,6,5,5,5,7,6,5,4,2,3,6,5,7,6,5,5,4,4,7,3,5,6,8,5,4,6,5,5,4,2,2,6,6,6,2,7,2,6,4,9,6,3,4,8,6,4,10,2,0,3,3,3,3,2,7,7,3,7,3,8,6
"Relb",0,1,1,0,1,2,2,1,5,2,1,0,1,2,1,2,1,1,1,1,2,0,2,2,0,0,0,0,0,4,1,1,2,4,1,2,2,1,2,1,2,1,0,4,0,2,2,0,1,1,0,2,3,2,2,1,0,0,2,1,2,0,3,0,1,1,1,4,1
"Clptm1",0,3,3,4,2,0,2,2,2,1,3,1,2,3,2,1,0,3,7,4,2,3,3,4,5,5,5,2,1,3,4,6,3,3,3,7,4,3,1,4,3,3,2,3,1,6,1,4,5,6,5,3,6,2,3,2,1,4,1,2,1,1,2,3,6,3,6,5,2
"Tomm40",0,3,6,4,4,4,3,11,6,6,4,2,12,0,5,6,4,5,4,6,10,12,5,11,6,6,6,0,5,4,7,4,6,8,7,3,4,6,5,10,3,3,1,8,3,8,2,7,7,7,13,8,4,3,8,2,1,5,7,5,5,2,4,2,10,9,1,3,9
"Pvr",0,1,3,1,5,1,3,3,3,0,3,1,1,0,2,1,3,0,3,2,1,3,3,2,3,1,1,0,0,0,2,4,3,4,3,1,3,3,0,2,3,1,0,3,1,2,2,2,0,2,1,2,1,1,2,2,0,1,0,0,2,0,4,3,2,2,1,4,3
"Zfp180",0,2,2,3,2,1,1,1,2,1,1,3,2,1,3,4,1,2,2,1,2,6,3,2,1,4,2,2,2,5,3,2,3,1,3,1,6,4,4,2,1,3,2,2,3,4,1,1,3,2,2,1,2,3,4,1,0,3,2,3,5,0,1,2,3,1,1,1,0
"Zfp112",1,2,2,0,1,0,1,3,0,1,3,0,1,0,2,1,0,1,6,2,1,0,2,2,0,2,2,0,2,2,4,3,1,2,3,2,2,1,2,0,0,0,0,1,2,4,3,2,0,1,0,2,1,2,0,0,0,2,2,0,2,2,1,5,0,2,1,2,4
"Zfp235",2,3,1,3,2,0,0,3,3,2,3,3,3,0,2,0,2,3,1,0,3,2,0,2,1,1,2,1,3,3,2,1,3,0,1,2,1,3,0,0,2,0,0,1,1,2,1,3,0,3,0,1,2,1,1,0,2,1,0,2,0,0,6,2,1,1,4,4,0
"Zfp111",0,0,0,2,1,0,0,0,2,0,0,2,0,0,2,0,1,0,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,2,0,1,2,0,0,2,1,0,1,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,3,1,0
"Zfp61",0,0,2,1,2,3,0,3,1,1,3,2,0,0,1,0,1,3,2,0,1,1,0,0,5,1,0,1,2,3,0,0,1,3,2,1,2,1,0,1,1,0,0,0,0,0,2,2,0,1,1,1,1,2,1,3,0,3,1,2,1,0,2,1,1,0,0,0,1
"Zfp94",0,1,2,2,0,2,1,2,1,2,1,1,2,0,1,2,2,2,3,2,1,1,1,1,1,1,2,1,3,4,3,2,1,2,0,2,2,5,2,0,2,1,0,0,2,1,1,1,0,0,3,1,1,3,0,1,0,0,1,1,2,1,3,2,1,2,3,0,2
"Smg9",0,1,4,3,2,4,2,4,1,2,3,0,3,0,2,2,3,3,3,1,1,2,2,3,4,2,0,0,2,5,5,1,4,1,2,2,7,7,2,1,5,0,0,1,4,7,5,4,3,3,0,2,4,3,4,1,0,0,2,1,2,1,3,5,2,0,2,2,1
"Cadm4",1,9,7,8,19,12,4,26,30,46,30,12,36,14,8,13,20,19,13,24,30,27,27,36,29,53,31,12,14,19,25,18,17,31,45,32,29,43,38,40,42,10,15,9,25,24,17,49,53,42,43,42,44,38,36,12,2,33,28,34,45,14,35,33,60,45,23,40,39
"Irgq",0,3,6,4,4,0,1,4,3,8,3,5,7,0,4,4,6,1,1,2,7,4,4,2,5,2,2,0,2,1,3,2,3,1,2,2,3,4,9,5,2,1,8,3,4,2,2,4,5,10,5,5,5,3,2,2,1,6,2,1,3,2,3,3,6,5,2,2,3
"Xrcc1",0,0,2,2,3,0,2,2,2,2,2,2,4,0,2,0,1,3,1,6,0,3,3,1,1,0,0,0,0,2,3,3,1,3,1,2,1,6,3,5,4,0,1,2,4,3,3,2,1,1,2,0,3,3,1,0,2,0,1,3,4,0,1,1,1,2,3,3,4
"Zfp575",0,6,1,3,3,1,2,2,2,2,3,0,0,0,3,2,2,1,0,3,3,1,5,1,3,4,1,1,1,3,0,1,3,1,3,5,1,1,2,2,1,2,3,4,0,2,0,0,3,2,1,3,1,1,1,0,0,2,0,0,1,1,2,3,3,2,3,4,0
"Arhgef1",0,7,4,5,4,2,0,1,2,4,2,0,4,6,5,4,2,4,5,2,2,3,2,4,4,2,5,9,1,2,2,5,3,4,4,2,0,4,0,7,3,4,4,6,0,2,4,4,0,0,5,3,1,9,4,2,0,1,1,3,0,3,4,2,2,2,1,1,3
"Grik5",0,10,15,3,8,5,3,14,8,14,17,6,2,5,9,8,7,13,12,6,10,6,9,6,8,7,18,4,8,6,7,11,11,6,12,5,17,8,15,17,15,8,11,13,10,13,17,8,16,13,8,14,17,13,12,6,1,9,12,13,10,8,14,17,8,24,8,18,5
"Zfp574",0,2,1,0,0,0,2,0,2,1,2,1,0,2,1,1,1,3,1,0,1,2,3,6,3,0,2,0,2,1,2,1,3,0,3,3,3,1,2,2,2,0,1,0,3,1,1,2,2,3,0,0,1,2,1,0,0,5,4,2,0,0,7,0,1,4,2,2,1
"Cic",0,4,13,8,8,4,4,4,3,4,8,1,0,2,9,4,6,4,4,4,10,9,11,7,2,5,6,2,9,2,8,10,10,2,10,11,10,7,3,3,5,1,6,5,10,8,5,11,7,7,6,1,6,5,11,4,3,9,13,5,7,5,7,12,9,5,10,11,7
"Tmem145",0,3,5,6,4,1,2,3,2,1,2,1,1,0,4,1,2,6,6,4,2,2,2,3,4,2,1,0,3,2,1,5,3,7,3,1,1,4,1,8,2,1,0,1,5,4,6,2,2,2,1,2,3,2,5,2,2,1,2,4,2,0,4,1,0,2,2,4,1
"Megf8",1,3,5,8,8,5,3,5,5,5,7,5,4,1,3,4,4,9,10,8,11,10,11,10,16,5,9,2,7,10,7,8,7,13,4,11,2,15,10,12,8,11,3,8,9,11,9,9,9,9,8,11,6,6,6,4,2,8,8,16,2,5,9,5,7,3,6,3,5
"Lipe",0,0,0,3,0,1,1,1,1,1,0,0,0,0,1,1,1,2,0,1,4,3,1,1,0,1,1,0,2,0,0,8,1,0,0,2,2,1,0,2,1,0,1,1,1,3,3,1,4,2,2,0,0,1,0,0,0,1,1,4,2,2,0,1,3,0,2,0,1
"Atp5sl",0,5,5,2,6,4,2,3,4,4,0,8,3,0,1,6,6,4,2,1,2,4,3,2,6,3,3,0,3,0,5,5,4,4,3,6,8,3,4,6,2,4,10,1,7,3,4,2,5,3,3,4,2,2,2,1,1,2,4,3,2,1,2,1,5,2,4,2,6
"Bckdha",0,1,1,1,4,0,2,3,3,1,5,2,2,0,0,2,0,1,1,1,2,1,2,2,2,2,2,0,1,3,4,2,1,2,2,2,1,3,0,1,0,1,1,4,1,2,1,6,1,3,0,1,2,0,3,1,0,1,1,2,0,0,4,4,3,4,1,1,5
"Ccdc97",0,3,3,2,1,1,2,1,3,4,0,2,2,0,2,4,6,3,3,3,5,2,3,2,3,3,3,1,1,3,1,2,3,3,7,2,5,0,3,1,1,4,0,2,3,3,2,1,2,3,6,2,3,2,1,0,0,3,4,1,1,0,3,3,5,6,1,4,2
"Egln2",1,10,10,9,0,1,5,9,1,3,4,4,3,6,6,11,6,7,7,5,3,1,3,1,5,7,2,4,8,12,5,9,4,7,3,4,6,5,5,7,1,5,9,12,12,4,7,5,3,5,7,5,5,4,5,1,6,6,3,5,3,1,3,8,4,10,7,5,1
"Itpkc",0,0,2,1,1,0,0,1,0,5,1,0,0,0,0,2,1,0,2,2,1,0,0,0,2,1,1,1,4,1,2,0,0,1,2,2,2,1,1,3,0,1,0,0,0,1,2,1,1,2,1,0,0,0,3,0,0,2,2,2,2,1,2,1,2,0,2,0,2
"Shkbp1",0,0,1,0,0,0,0,2,3,0,1,0,1,1,0,1,1,1,0,4,0,2,2,1,2,2,2,2,0,1,2,0,1,2,1,0,1,1,2,3,3,0,1,0,1,0,3,0,1,2,0,1,2,1,0,0,1,1,0,1,2,0,0,2,1,2,2,1,3
"Sertad3",0,2,1,1,1,0,1,2,0,0,0,0,2,0,2,1,3,1,0,0,2,0,2,2,0,0,2,0,0,3,1,0,1,0,0,0,2,1,1,0,3,0,1,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,3,1,0,1,0,2,0
"Sertad1",0,2,4,3,6,4,1,2,4,4,2,0,3,3,2,1,3,1,0,5,1,0,3,2,1,1,2,0,2,0,2,3,4,2,2,3,2,2,1,4,0,0,0,7,6,4,3,2,2,2,3,1,3,2,5,4,2,0,5,3,2,0,1,4,4,2,3,2,0
"Akt2",0,1,1,2,3,2,2,0,4,2,1,2,3,0,6,1,6,4,1,2,2,3,2,3,4,3,1,3,1,2,3,5,1,4,5,1,3,2,2,1,1,4,5,0,3,0,0,4,4,3,3,1,1,2,3,1,2,5,2,4,2,3,4,4,1,3,4,1,3
"Zfp780b",0,2,2,3,3,2,1,2,0,2,1,1,4,2,0,3,0,1,1,1,0,2,0,1,0,1,2,0,0,2,0,0,1,1,2,1,2,0,2,0,0,0,2,0,0,2,0,1,2,0,1,1,1,0,0,0,0,2,1,1,1,2,1,3,1,0,0,0,1
"Dyrk1b",2,2,2,5,1,0,7,3,4,4,6,6,7,0,4,1,2,4,5,6,1,4,5,10,3,8,5,1,7,4,3,3,6,3,2,4,5,4,1,3,7,1,5,1,7,6,7,3,8,3,7,3,6,6,3,1,0,4,11,3,5,2,0,7,4,8,8,4,6
"Dll3",0,0,0,2,0,0,2,1,2,0,0,1,2,0,1,2,3,1,2,1,1,1,0,2,1,0,0,1,2,2,1,2,1,1,1,2,0,0,3,3,1,1,1,0,0,1,0,2,1,1,2,2,2,1,1,0,2,2,1,3,0,0,0,0,1,0,0,1,0
"Med29",0,0,1,3,1,1,0,3,1,0,0,0,2,1,3,1,1,0,2,2,1,0,2,2,0,1,2,0,0,1,2,0,0,0,1,2,0,0,1,0,1,1,0,2,1,1,1,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,2
"Paf1",0,0,2,4,0,1,1,4,5,3,5,0,1,2,3,1,4,2,2,7,4,0,4,4,4,2,4,1,2,1,2,2,4,3,1,5,4,4,3,3,2,1,2,5,1,3,6,2,5,2,3,2,4,3,2,2,1,2,6,2,3,0,2,5,3,1,1,3,1
"Lrfn1",0,0,5,1,1,1,3,2,1,1,2,0,3,0,5,2,4,2,1,1,2,2,2,3,2,2,0,0,6,4,3,3,3,2,6,4,4,4,2,3,2,0,3,1,10,4,4,2,6,1,4,5,5,3,4,1,2,2,6,3,3,2,2,1,4,2,6,2,1
"Pak4",0,1,1,2,1,1,0,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,3,3,1,1,1,0,3,1,2,0,0,3,0,3,0,3,1,1,1,2,1,0,2,2,2,1,0,1,1,0,0,2,0,0,1,1,0,3,0,1,1,0,0,0,0,2
"Sars2",0,1,2,0,0,1,2,1,2,2,1,2,3,1,0,1,3,1,2,3,2,3,2,3,2,2,4,0,4,2,3,0,1,1,3,1,0,0,6,1,0,0,2,2,1,1,2,0,1,2,0,1,1,0,3,0,0,0,0,0,0,0,3,3,0,0,6,1,2
"Rinl",0,0,0,0,2,0,1,1,0,0,0,0,1,0,2,1,0,1,1,2,0,1,0,0,0,1,3,0,0,1,2,2,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,2,1,0,3,3,0,3,0,0,1
"Hnrnpl",0,4,4,7,14,6,7,9,5,9,11,1,9,3,5,7,13,6,9,13,16,5,5,7,12,15,5,2,10,9,7,13,10,15,13,10,11,13,12,8,6,7,12,10,14,11,10,16,14,10,9,6,5,5,13,2,4,9,6,7,10,6,7,15,9,15,8,8,10
